feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,valid_CI_lower_limit,valid_CI_upper_limit
IS#F2frequency_sma3nz_stddevNorm,-2.1121330245221412,1.892638115573055,"(-2.349018227231721, -2.113325157293886)","(1.6537824520243039, 1.894343440085155)",True,True
IS#F2bandwidth_sma3nz_amean,-1.8144419801938623,2.133258429858479,"(-1.9964027443217631, -1.814534990340929)","(1.8302015306539947, 2.1350292357048795)",True,True
IS#F2bandwidth_sma3nz_stddevNorm,-1.724681024761667,2.1701634131664393,"(-1.8762528935116123, -1.7244979000663767)","(1.9449277063117498, 2.169760743282675)",True,True
IS#F3frequency_sma3nz_amean,-1.648361153755135,2.2280162471564258,"(-1.7319039539983028, -1.647022055929729)","(2.083372318364996, 2.2252744715875443)",True,True
IS#F3frequency_sma3nz_stddevNorm,-1.869462224180083,1.9042231835683443,"(-2.0746181924254112, -1.8695915211208787)","(1.7881890792685575, 1.8961786304049126)",True,True
IS#F3bandwidth_sma3nz_amean,-1.831088405384333,2.062509769564976,"(-1.9208155322781997, -1.8296001970106885)","(1.9002435379379081, 2.0626623803573603)",True,True
IS#F3bandwidth_sma3nz_stddevNorm,-1.7696057306653623,2.317857129077731,"(-1.8418212412118187, -1.7653826976809166)","(2.0521630659774215, 2.319445534482221)",True,True
IS#loudnessPeaksPerSec,-1.8703768172765018,1.923895712830637,"(-2.0998226203003605, -1.8692990186507816)","(1.827538944039496, 1.917537380481042)",True,True
IS#VoicedSegmentsPerSec,-1.7560436057801094,2.1740733190125163,"(-1.8965631295167529, -1.7384465652132588)","(1.9280966303756175, 2.1735553082734036)",True,True
IS#MeanVoicedSegmentLengthSec,-1.7984248682318174,2.146899381824447,"(-1.9219888361021271, -1.792884691215134)","(1.764125645725505, 2.100261549674552)",True,True
IS#StddevVoicedSegmentLengthSec,-1.7578861841894122,2.079930466511287,"(-1.902661875200734, -1.7579698621376796)","(1.8419956500370012, 2.0774427622623866)",True,True
IS#MeanUnvoicedSegmentLength,-1.304719201381899,2.393165661732351,"(-1.366994461221182, -1.3045465713830253)","(2.039875760174226, 2.3943742265875856)",True,True
IS#StddevUnvoicedSegmentLength,-1.3021552380509394,2.342209699306351,"(-1.3622161106975972, -1.3053513731958921)","(1.7515350499311815, 2.335566260868219)",True,True
IS#meanF0,-1.4630976669993918,2.3250205156085717,"(-1.5010212148713409, -1.4613977732316783)","(2.054807972979235, 2.3214715781202453)",True,True
IS#stdevF0,-1.2392773655893428,2.9023131543045864,"(-1.3102839805852478, -1.2391991251425734)","(2.2243693084458336, 2.902106589632112)",True,True
IS#hnr,-2.148272833680311,1.7577364781298224,"(-2.3819883831046726, -2.1436277956658167)","(1.6478427844336085, 1.7594086238478113)",True,True
IS#localJitter,-1.5183123708428496,2.34658790931599,"(-1.587037629057784, -1.517739073133856)","(1.9575826292750778, 2.3159403570349744)",True,True
IS#localabsoluteJitter,-1.5816059439455488,2.087742049759038,"(-1.681825035108141, -1.580484921926887)","(1.8905699675389995, 2.072628112436354)",True,True
IS#rapJitter,-1.298667986127626,2.4736479704462484,"(-1.4024462598586267, -1.2986817435844693)","(2.054601058709367, 2.4711603536588007)",True,True
IS#ppq5Jitter,-1.3751586768524382,2.350444155419482,"(-1.4648577470294164, -1.3717010466473125)","(1.993415306714187, 2.346212108679998)",True,True
IS#ddpJitter,-1.2986679861276276,2.4736479704462373,"(-1.4024462598586156, -1.2986817435844715)","(2.0546010587093777, 2.47116035365879)",True,True
IS#localShimmer,-1.4604053726547603,2.4174887325093684,"(-1.6797331782275438, -1.4598331215707958)","(2.2675476697720893, 2.416147701818911)",True,True
IS#localdbShimmer,-1.5924980340488757,2.357685738454362,"(-1.7846515591455505, -1.59241700081641)","(2.1627221001953854, 2.3519743128109423)",True,True
IS#apq3Shimmer,-1.4372252078197116,2.303088018011122,"(-1.4885667969473813, -1.4360601884014148)","(2.2105122702832176, 2.3011123023205973)",True,True
IS#aqpq5Shimmer,-1.4193239556116946,2.6212207898439983,"(-1.562068412206813, -1.418751279249802)","(2.261418469511611, 2.5843744383435787)",True,True
IS#apq11Shimmer,-1.4163383520137232,2.518566269118565,"(-1.5720846246277649, -1.4146576634481025)","(2.2783520619589748, 2.4999900582762744)",True,True
IS#ddaShimmer,-1.4372252078197125,2.3030880180111213,"(-1.4885667969473826, -1.4360601884014157)","(2.210512270283216, 2.3011123023205977)",True,True
IS#f1_mean,-1.5936808198557215,2.1517115375266114,"(-1.6744686338149255, -1.593831826053564)","(1.9362549524177477, 2.1390605246785244)",True,True
IS#f2_mean,-1.814807910020135,1.9545799308587548,"(-1.9616937474133127, -1.8148323977821585)","(1.847506887014761, 1.954162290935964)",True,True
IS#f3_mean,-1.9362603692798157,1.8650169128114953,"(-2.0645692658191126, -1.9356085582083398)","(1.7325455496309745, 1.8712198927095425)",True,True
IS#f4_mean,-2.103366759288633,2.08909024717801,"(-2.3076309612965518, -2.100066512407468)","(1.736322350168122, 2.0800498712390807)",True,True
IS#f1_median,-1.8243850921616565,2.029540722018203,"(-1.9090331645099148, -1.825774730949286)","(1.846705866221832, 2.0299587751120076)",True,True
IS#f2_median,-1.88275660156206,1.8570432505606573,"(-2.0354315131277843, -1.8826275254083986)","(1.7412241719563133, 1.859539024111737)",True,True
IS#f3_median,-2.0319367306184093,1.877673476392179,"(-2.142536150054451, -2.0335264307371754)","(1.6981711231980814, 1.8637415667745796)",True,True
IS#f4_median,-2.004681328802964,2.1775939534012534,"(-2.3288073199033366, -2.006394045072883)","(1.8482386790218748, 2.16129865701504)",True,True
IS#speechrate(nsyll / dur),-1.7562254420136028,2.0034522633281964,"(-1.9486621754362194, -1.7483120387773656)","(1.8077746238678636, 2.002274294672469)",True,True
IS#articulation rate(nsyll / phonationtime),-1.8683922936544535,2.022979574728722,"(-2.0456207044110974, -1.8676809570871467)","(1.8260007086790264, 2.012593875376012)",True,True
IS#ASD(speakingtime / nsyll),-1.7453362096212683,2.1012415804138977,"(-1.8909621365583158, -1.7414396430383279)","(1.8973183326405636, 2.0994715534026063)",True,True
IS#mean_pause_dur,-1.5019014157204904,1.3834448494041311,"(-1.5019014157204904, -1.5019014157204904)","(1.2482376905253867, 1.383444849404126)",True,True
IS#mean_speech_dur,-0.6844840108927209,2.853932635914071,"(-0.6921621329607393, -0.6841759803335836)","(2.7066038261968757, 2.852805072591975)",True,True
IS#silence_rate (silencetime/dur),-1.0118848936767033,2.038950214600123,"(-1.0118848936767033, -1.0118848936767033)","(1.8641603607873138, 2.0305302158527643)",True,True
IS#silence_speech_ratio,-1.6131605375899134,0.8625362644087465,"(-1.6131605375899134, -1.6131605375899134)","(0.8568450073926577, 0.8625362644087465)",True,True
IS#mean_sil_count,-1.1186285542261234,2.0608744465739273,"(-1.1186285542261234, -1.1186285542261234)","(1.8590037712238365, 2.056159294109001)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_amean,-1.722862750038458,2.231349741565961,"(-1.9427902881455874, -1.7272917396419096)","(1.935134759731804, 2.2340190882280253)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,-1.8479613507820853,1.8749450190149957,"(-1.9876813604028118, -1.8483997119425286)","(1.7022044895954276, 1.8730638897892469)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,-1.6929454538883488,2.2021458077112896,"(-2.061050149283254, -1.6962295384849515)","(1.766862220597754, 2.2019277974693288)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile50.0,-1.6564537949716402,2.0945576521377536,"(-1.817445712636134, -1.6560022091868185)","(1.848395255356943, 2.0848546976002957)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile80.0,-1.1615819725241436,3.3124507425834335,"(-1.2569573453923921, -1.1618419486896145)","(2.587617837591853, 3.321042179950005)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,-1.4912717340670654,2.2741249752553347,"(-1.5588826041616515, -1.4875940619080996)","(1.9027229228562295, 2.262706313785877)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,-1.5834259063727552,1.765581149825036,"(-1.6303557737124938, -1.5820879962976688)","(1.6224643636541178, 1.7632145384581621)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,-1.3378888444324024,2.487039046999743,"(-1.3865381079872732, -1.3377789818673396)","(2.125499672429435, 2.4871820549399897)",True,True
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,-0.9937889172320861,2.8732287160206904,"(-1.0125823849509525, -0.99424043712882)","(2.4860049644280053, 2.880925436304444)",True,True
Pic#HNRdBACF_sma3nz_amean,-1.8037831432028226,2.036652505923366,"(-2.039390983918431, -1.805504398209783)","(1.849303218135345, 2.036274802984672)",True,True
Pic#HNRdBACF_sma3nz_stddevNorm,-0.9705362934183188,2.680296532214263,"(-1.0097889004438414, -0.9702200869796856)","(2.0695796834214213, 2.6796448751748723)",True,True
Pic#jitterLocal_sma3nz_amean,-1.2533525736149556,2.883876897048859,"(-1.3113992385781723, -1.2536769514676613)","(2.3018584416611594, 2.87720326999583)",True,True
Pic#jitterLocal_sma3nz_stddevNorm,-1.6325209316212108,2.1388792943141923,"(-1.7133219624034517, -1.6396340316666387)","(1.8385262945428094, 2.123757422069452)",True,True
